episode_id,frame_index,global_index,task_progress,comparison_condition,comparison_label,noise_seed,noise_id,translation_language_distance,rotation_language_distance,gripper_language_difference,full_action_language_distance,signed_diff_x,signed_diff_y,signed_diff_z,signed_diff_roll,signed_diff_pitch,signed_diff_yaw,signed_diff_gripper
0,0,0,0.0,paraphrase,Paraphrase,7100000,sha256:eb82f8a65a178801,0.19775342972553414,0.01144603655346143,0.007564783096313588,0.19822879877628583,0.17944392561912542,-0.06094899773597712,-0.0564935058355331,0.0012877334374934,-0.008130088448524496,-0.0079533110838383,-0.007564783096313588
0,0,0,0.0,contradictory,Contradictory,7100000,sha256:eb82f8a65a178801,0.2994808609360676,0.010969408406065048,0.005149364471435547,0.29972592470830245,-0.17656576633453372,0.239739827811718,0.032220043241977706,0.0020114594371989,0.005721710622310701,-0.0091402395628392,-0.005149364471435547
0,0,0,0.0,unrelated,Unrelated,7100000,sha256:eb82f8a65a178801,0.3004567682105943,0.031212051726885816,0.0005258321762086071,0.3020740608460682,-0.1443113386631012,-0.2627532184123993,-0.020230010151863098,-0.0009072450920940001,0.004281181842088699,0.0309037305414676,-0.0005258321762086071
0,13,13,0.0505836575875486,paraphrase,Paraphrase,7100013,sha256:5bac18bc2b7d1d9a,0.11241583394795039,0.016128058028404266,0.005148530006408691,0.113683513928835,0.02213263511657715,0.05383080244064331,-0.09617541730403899,0.0006397659890354001,-0.011610354296863001,-0.011176073923707005,-0.005148530006408691
0,13,13,0.0505836575875486,contradictory,Contradictory,7100013,sha256:5bac18bc2b7d1d9a,0.07902904792657676,0.010933414323781256,0.0020929574966430664,0.07980921272659809,-0.028758525848388672,0.07267558574676514,0.0116960182785988,2.5012530386499948e-05,-0.0054237323347479,-0.009493263438343998,0.0020929574966430664
0,13,13,0.0505836575875486,unrelated,Unrelated,7100013,sha256:5bac18bc2b7d1d9a,0.3943972610305185,0.05849804086546335,0.01879483461380005,0.3991546894396112,-0.38069641590118414,-0.026120662689208984,-0.09968525171279909,-0.00925036938861,-0.016070504672825302,0.0554814413189887,0.01879483461380005
0,27,27,0.1050583657587548,paraphrase,Paraphrase,7100027,sha256:6357e83ab1d4d19b,0.3301870285073889,0.02201177239016133,0.001474618911743164,0.33092320320465657,-0.23768720030784607,0.1481976211071015,-0.1748305857181549,-4.2569357901800324e-05,-0.0219444120302796,0.0017202012240887,-0.001474618911743164
0,27,27,0.1050583657587548,contradictory,Contradictory,7100027,sha256:6357e83ab1d4d19b,0.5980319507188989,0.033900518502906686,0.015204370021820068,0.5991849731954048,-0.47637431323528295,0.2865009903907776,-0.22051510214805603,-0.0027386939618737,-0.030280807055532898,0.0149939132388681,0.015204370021820068
0,27,27,0.1050583657587548,unrelated,Unrelated,7100027,sha256:6357e83ab1d4d19b,0.540365716729515,0.08203329628854936,0.023000001907348633,0.5470407385234718,-0.5282079949975015,0.07295498251914978,-0.08757278323173523,-0.0097942054271697,-4.9937050789599854e-05,0.08144650235772119,0.023000001907348633
0,42,42,0.1634241245136186,paraphrase,Paraphrase,7100042,sha256:b1476c39145043fc,0.11673337663578928,0.010548971389559634,0.003379225730895996,0.1172577553286397,-0.11515650153160101,0.017472743988037095,-0.007769465446472168,0.0009316659998148996,-0.0027590245008467934,-0.0101390620693565,-0.003379225730895996
0,42,42,0.1634241245136186,contradictory,Contradictory,7100042,sha256:b1476c39145043fc,0.20764132795958695,0.018218150075229828,0.007791996002197266,0.208584604586922,-0.1723514199256897,0.00525847822427751,0.1156817078590393,0.0015256849583238999,0.009944401681423201,-0.015188224148005199,0.007791996002197266
0,42,42,0.1634241245136186,unrelated,Unrelated,7100042,sha256:b1476c39145043fc,0.20348623909914654,0.0668675043207658,2.7418136596901732e-05,0.21419130091709346,-0.15136748552322393,0.1068128943443299,0.08417564630508423,-0.0045362629462033,0.021434437483549104,0.0631763432174921,-2.7418136596901732e-05
0,53,53,0.2062256809338521,paraphrase,Paraphrase,7100053,sha256:a36ab5aa7b125337,0.1879712786516244,0.00937901550541093,0.0027735233306884766,0.18822555607951658,-0.16961494088172913,-0.01967038214206701,-0.07859420776367188,0.0012679463834501,-0.0077596371993422005,-0.0051133427768945,0.0027735233306884766
0,53,53,0.2062256809338521,contradictory,Contradictory,7100053,sha256:a36ab5aa7b125337,0.3189421493666916,0.029892151988814643,2.0254781246185303,2.0506533760490497,0.08516886830329898,0.036677643656730596,0.3051640689373017,-0.0137700492632575,0.0234250463545322,-0.012457676231861,2.0254781246185303
0,53,53,0.2062256809338521,unrelated,Unrelated,7100053,sha256:a36ab5aa7b125337,0.18493259510786456,0.04536271032770579,0.011451601982116477,0.1907589563023491,-0.18120023608207703,0.02051730453968051,0.030750274658203125,-0.0031610185396857,0.0004355749115348001,0.045250345021486296,0.011451601982116477
0,76,76,0.2957198443579766,paraphrase,Paraphrase,7100076,sha256:e07fb71def398fe0,0.08929484106766285,0.002736139609692501,0.0036808252334594727,0.0894125470818395,0.007550925016403198,0.044916629791259766,-0.07680526375770569,-0.0003545812796802001,-0.002160973846912405,-0.0016404036432504003,0.0036808252334594727
0,76,76,0.2957198443579766,contradictory,Contradictory,7100076,sha256:e07fb71def398fe0,0.14183991359028467,0.02146705853475084,0.006821811199188232,0.14361731371067768,0.08610213547945021,-0.056063055992126465,0.09778505563735962,-4.584039561460001e-05,0.012519855052232697,-0.0174380540847777,-0.006821811199188232
0,76,76,0.2957198443579766,unrelated,Unrelated,7100076,sha256:e07fb71def398fe0,0.8593472372422968,0.04943468139337669,2.0169140100479126,2.1929121245065852,0.15856797248125082,-0.7528367415070533,-0.3828455470502376,-7.138866931200006e-05,0.0492958948016165,0.0037009976804256994,-2.0169140100479126
0,81,81,0.3151750972762646,paraphrase,Paraphrase,7100081,sha256:f12d6efbcf1788aa,0.055923192927792624,0.0052256524971899055,0.004533529281616211,0.05634947949189747,0.0068743675947190025,0.030269086360931396,-0.04651805013418199,-0.0016990308649837997,-0.004813365638256101,-0.0011190394870937,0.004533529281616211
0,81,81,0.3151750972762646,contradictory,Contradictory,7100081,sha256:f12d6efbcf1788aa,0.06428271039075556,0.013577447587861193,0.006487369537353516,0.06602045063233855,0.0471517145633698,-0.016455769538879395,0.04047456383705131,0.0005549755878745998,-0.0018795579671860019,-0.0134352650493382,-0.006487369537353516
0,81,81,0.3151750972762646,unrelated,Unrelated,7100081,sha256:f12d6efbcf1788aa,1.1068455102956345,0.04305982349170234,1.9974491596221924,2.2840237033218687,0.1211651191115379,-0.9977586269378661,-0.4635770916938782,-0.004602804780006401,-0.008498281240463298,0.0419611940160394,-1.9974491596221924
0,95,95,0.3696498054474708,paraphrase,Paraphrase,7100095,sha256:245f686859a37d64,0.04334356003739198,0.0066822629596677285,0.0015527009963989258,0.04388311423954969,0.03659126162528986,0.007893502712249756,-0.02185031771659851,0.0024047698825598006,-0.004188079386949501,-0.0046184100210667,0.0015527009963989258
0,95,95,0.3696498054474708,contradictory,Contradictory,7100095,sha256:245f686859a37d64,0.13753691136882448,0.01639429650000376,0.0004907846450805664,0.13851142846773967,0.11103495955467219,-0.02874547243118286,0.07590347528457639,0.006695285905152601,-0.004335705190896901,-0.014322980307042599,0.0004907846450805664
0,95,95,0.3696498054474708,unrelated,Unrelated,7100095,sha256:245f686859a37d64,1.023330067530983,0.08584254070298868,2.023375988006592,2.2690579009247345,0.18737047910690308,-1.005239486694336,-0.03987862914800641,0.0061182598583401,0.0852973535656929,0.007474634796381,-2.023375988006592
0,114,114,0.4435797665369649,paraphrase,Paraphrase,7100114,sha256:09314ed5e6d9d815,0.09326768056703598,0.02749634740553227,0.008401155471801869,0.09759861050374521,0.038460835814476096,0.0005488544702529907,-0.08496659994125372,0.0213968129828572,-0.013764964416623102,-0.0104283876717091,0.008401155471801869
0,114,114,0.4435797665369649,contradictory,Contradictory,7100114,sha256:09314ed5e6d9d815,0.1262442298536445,0.030559123469137955,0.002774834632873535,0.12991984184789343,0.058006197214126594,-0.0757812261581421,0.082644373178482,-0.0028267586603760997,-0.015619987621903402,-0.026112936437129995,-0.002774834632873535
0,114,114,0.4435797665369649,unrelated,Unrelated,7100114,sha256:09314ed5e6d9d815,0.873292508361467,0.029104735167061323,0.010219097137451283,0.8738371248211606,0.2178546115756034,-0.5222024470567703,0.6651945412158965,-0.0060250533279030995,-0.0022194692865014,-0.028387643396854498,0.010219097137451283
0,128,128,0.4980544747081712,paraphrase,Paraphrase,7100128,sha256:d418642eb340f5fc,0.08455451327503302,0.005484092201085042,0.012544870376587136,0.08565579230392484,-0.0132036283612251,0.013239137828350095,-0.0824612341821194,0.00017013080650940006,-0.004932795651257,-0.0023903660476207976,-0.012544870376587136
