language_condition,count,min,max,mean,median,std,q01,q05,q25,q50,q75,q95,q99
contradictory,200,-1.025324821472168,1.0306894779205322,-0.08920127034187317,-0.9821691811084747,0.9961311185095818,-1.0182873797416687,-1.0093919217586518,-0.998298168182373,-0.9821691811084747,0.9973068237304686,1.0116372644901273,1.0195797657966612
correct,200,-1.0497735738754272,1.031383037567139,-0.10070381015539169,-0.9848063290119172,0.9967684153985963,-1.0223365175724028,-1.014911311864853,-1.0003359913825989,-0.9848063290119172,0.9983076155185701,1.0128847062587736,1.0194666659832001
paraphrase,200,-1.0310345888137815,1.047946810722351,-0.10033571094274521,-0.9873982071876526,1.0002949418340055,-1.0270514714717864,-1.0193617463111877,-1.0049631297588348,-0.9873982071876526,1.0012928545475006,1.020452755689621,1.0265454244613648
unrelated,200,-1.059479832649231,1.0297019481658936,-0.5705250832438469,-0.9957524538040161,0.8245327956590255,-1.031669509410858,-1.0236988008022307,-1.005201518535614,-0.9957524538040161,-0.9811627566814421,1.0098218858242034,1.0227212917804718
