scope,actual_compute_device,count,mean_inference_time_ms,median_inference_time_ms,std_inference_time_ms,min_inference_time_ms,max_inference_time_ms
Overall,mps:0,800,541.0591126591316,539.1988545889035,21.937970324912634,489.4492910243571,729.8195420298725
Correct,mps:0,200,556.1235181917436,550.5943545140326,24.224459426992073,522.1076670568436,729.8195420298725
Paraphrase,mps:0,200,525.576957880985,522.2812499850988,16.983342511334655,489.4492910243571,584.2659580521286
Contradictory,mps:0,200,541.5318028908223,539.1988545889035,17.704241462320848,511.2235839478672,627.3580831475556
Unrelated,mps:0,200,541.0041716729756,538.3604790549725,16.566506122363467,509.4415838830173,592.7281249314547
