repeat,latency_ms,action_0,action_1,action_2,action_3,action_4,action_5,action_6,difference_from_repeat_0_0,difference_from_repeat_0_1,difference_from_repeat_0_2,difference_from_repeat_0_3,difference_from_repeat_0_4,difference_from_repeat_0_5,difference_from_repeat_0_6,abs_difference_from_repeat_0_0,abs_difference_from_repeat_0_1,abs_difference_from_repeat_0_2,abs_difference_from_repeat_0_3,abs_difference_from_repeat_0_4,abs_difference_from_repeat_0_5,abs_difference_from_repeat_0_6,max_abs_difference_from_repeat_0
0,765.552791999653,0.044673968106508255,0.2097260057926178,-0.13992047309875488,-0.015594305470585823,0.0010299147106707096,-0.015535784885287285,-1.0129930973052979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,495.1170841231942,0.044673968106508255,0.2097260057926178,-0.13992047309875488,-0.015594305470585823,0.0010299147106707096,-0.015535784885287285,-1.0129930973052979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,496.82699982076883,0.044673968106508255,0.2097260057926178,-0.13992047309875488,-0.015594305470585823,0.0010299147106707096,-0.015535784885287285,-1.0129930973052979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,489.3594589084387,0.044673968106508255,0.2097260057926178,-0.13992047309875488,-0.015594305470585823,0.0010299147106707096,-0.015535784885287285,-1.0129930973052979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,493.84745792485774,0.044673968106508255,0.2097260057926178,-0.13992047309875488,-0.015594305470585823,0.0010299147106707096,-0.015535784885287285,-1.0129930973052979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
