episode_id,task_stage,task_stage_index,comparison_condition,metric,count,mean,median,std
0,0–20%,0,Paraphrase,translation_language_distance,4,0.18927241720416568,0.1572434031806617,0.10181306734816542
1,0–20%,0,Paraphrase,translation_language_distance,4,0.20592343913352756,0.18281123704547667,0.11554181735284393
2,0–20%,0,Paraphrase,translation_language_distance,4,0.19773404150023738,0.18664089758537863,0.0957539568904436
3,0–20%,0,Paraphrase,translation_language_distance,4,0.176921018709511,0.17333759844183766,0.05823987383957196
4,0–20%,0,Paraphrase,translation_language_distance,4,0.11870119692243447,0.12659691152729272,0.035955737281831456
5,0–20%,0,Paraphrase,translation_language_distance,4,0.1851149008071031,0.1710109047946749,0.1039508446230028
6,0–20%,0,Paraphrase,translation_language_distance,4,0.18635149688621921,0.12826274622688527,0.12568627216536118
7,0–20%,0,Paraphrase,translation_language_distance,5,0.1715129219330518,0.1944797662664469,0.04030015434203283
8,0–20%,0,Paraphrase,translation_language_distance,4,0.20024566964094864,0.15051655374424028,0.1383648274423021
9,0–20%,0,Paraphrase,translation_language_distance,4,0.21548826052178346,0.1990589453830537,0.10324941016784654
0,0–20%,0,Paraphrase,rotation_language_distance,4,0.015033709590396663,0.013787047290932847,0.0052559564144320494
1,0–20%,0,Paraphrase,rotation_language_distance,4,0.02099668765764262,0.017362153281419122,0.012736727820957954
2,0–20%,0,Paraphrase,rotation_language_distance,4,0.012939780610722191,0.01029785716919477,0.010263029864393959
3,0–20%,0,Paraphrase,rotation_language_distance,4,0.01383899868361551,0.01585091078697206,0.007372243999312227
4,0–20%,0,Paraphrase,rotation_language_distance,4,0.006765105514328273,0.00628322292210896,0.002496832743762244
5,0–20%,0,Paraphrase,rotation_language_distance,4,0.02032885455051446,0.01712580729623262,0.01434392782204419
6,0–20%,0,Paraphrase,rotation_language_distance,4,0.013239336739606658,0.011670081782597451,0.0065680427481405205
7,0–20%,0,Paraphrase,rotation_language_distance,5,0.014460077312583749,0.010496514816445611,0.006047160435994362
8,0–20%,0,Paraphrase,rotation_language_distance,4,0.012141561535743063,0.009142188264433944,0.007863375350906778
9,0–20%,0,Paraphrase,rotation_language_distance,4,0.010764251756175673,0.009365875128514955,0.008462425072314143
0,0–20%,0,Paraphrase,gripper_language_difference,4,0.00439178943634036,0.004263877868652344,0.002593306395561436
1,0–20%,0,Paraphrase,gripper_language_difference,4,0.003363519906997736,0.0028991401195527233,0.0016988880524632503
2,0–20%,0,Paraphrase,gripper_language_difference,4,0.006789028644561934,0.007148087024688943,0.00292386455037378
3,0–20%,0,Paraphrase,gripper_language_difference,4,0.020436137914657565,0.008293092250823975,0.02985189529409983
4,0–20%,0,Paraphrase,gripper_language_difference,4,0.0030974596738815308,0.001075595617294367,0.004709958370486034
5,0–20%,0,Paraphrase,gripper_language_difference,4,0.0023096799850464422,0.0019625425338746227,0.0023450291746378873
6,0–20%,0,Paraphrase,gripper_language_difference,4,0.002906948328018355,0.003214120864868275,0.001598718898839513
7,0–20%,0,Paraphrase,gripper_language_difference,5,0.003754174709320002,0.003645658493041992,0.0011975122378543317
8,0–20%,0,Paraphrase,gripper_language_difference,4,0.0042602419853211,0.0036174058914184015,0.004576603095284549
9,0–20%,0,Paraphrase,gripper_language_difference,4,0.009955033659934887,0.007614344358444103,0.006809066136954501
0,0–20%,0,Paraphrase,full_action_language_distance,4,0.19002331780960427,0.15774327705246277,0.10172299045604018
1,0–20%,0,Paraphrase,full_action_language_distance,4,0.2072864948479313,0.18472918585460255,0.11561552667955975
2,0–20%,0,Paraphrase,full_action_language_distance,4,0.19835884429601036,0.1869821804263199,0.09611155434751499
3,0–20%,0,Paraphrase,full_action_language_distance,4,0.1818849309355194,0.1744309966813108,0.05267635499333507
4,0–20%,0,Paraphrase,full_action_language_distance,4,0.11900960857094564,0.1269745025153416,0.036018010707085074
5,0–20%,0,Paraphrase,full_action_language_distance,4,0.18655124593359987,0.17196072320710412,0.10422747708217604
6,0–20%,0,Paraphrase,full_action_language_distance,4,0.18690447366207016,0.12890566242237572,0.1257477850121089
7,0–20%,0,Paraphrase,full_action_language_distance,5,0.17220872068170728,0.19473978415909857,0.0405233000064305
8,0–20%,0,Paraphrase,full_action_language_distance,4,0.20076347404803735,0.15076510073497446,0.1384611880979358
9,0–20%,0,Paraphrase,full_action_language_distance,4,0.21629152512355246,0.19964643467561113,0.10296893339449585
0,0–20%,0,Contradictory,translation_language_distance,4,0.2960457968852826,0.25356109444782726,0.22069515643899226
1,0–20%,0,Contradictory,translation_language_distance,4,0.294552046806719,0.22734261565165642,0.158491180624849
2,0–20%,0,Contradictory,translation_language_distance,4,0.28822451324362275,0.2565952318251043,0.16100327219858693
