scope,comparison_condition,metric,observation_count,point_estimate,bootstrap_mean,ci95_low,ci95_high,bootstrap_replicates,bootstrap_seed,episode_cluster_count
overall,Paraphrase,translation_language_distance,200,0.148509154562012,0.14845395766798866,0.1389950560238583,0.15818970141333555,2000,20260809,10
overall,Paraphrase,rotation_language_distance,200,0.014574060940665578,0.014567323461337949,0.013558622547796481,0.01565239836535154,2000,20260810,10
overall,Paraphrase,gripper_language_difference,200,0.06627592742443085,0.0662926843649149,0.03640853904187679,0.0961711973324418,2000,20260811,10
overall,Paraphrase,full_action_language_distance,200,0.20275524235380105,0.2022513554723439,0.1724519972918358,0.23137302229281126,2000,20260812,10
overall,Contradictory,translation_language_distance,200,0.20865968059770143,0.20860847886540052,0.19351235385030527,0.22401900468492641,2000,20260909,10
overall,Contradictory,rotation_language_distance,200,0.01957434696202631,0.01952958348013019,0.01747941195947585,0.02175250209490114,2000,20260910,10
overall,Contradictory,gripper_language_difference,200,0.1748916032910347,0.17403302890241149,0.1153180270716548,0.23440570622682572,2000,20260911,10
overall,Contradictory,full_action_language_distance,200,0.3543154315438337,0.3537792512394567,0.2973522753735043,0.414461617423155,2000,20260912,10
overall,Unrelated,translation_language_distance,200,0.4634893282795731,0.46355232544113734,0.44358788691869044,0.48463850716660384,2000,20261009,10
overall,Unrelated,rotation_language_distance,200,0.04233018911694433,0.04240390329999285,0.03867587015892086,0.04581137417247288,2000,20261010,10
overall,Unrelated,gripper_language_difference,200,0.4793772894144058,0.47937683256819846,0.41972457460314033,0.5478078162148595,2000,20261011,10
overall,Unrelated,full_action_language_distance,200,0.8063686154782291,0.806589846295319,0.7618884015388444,0.8559504512077042,2000,20261012,10
