prompt_class,n_prompts_per_observation,n_observations,n_episodes,primary_unit,mean_translation_distance,median_translation_distance,episode_cluster_ci95_low_translation_distance,episode_cluster_ci95_high_translation_distance,mean_orientation_control_distance,median_orientation_control_distance,episode_cluster_ci95_low_orientation_control_distance,episode_cluster_ci95_high_orientation_control_distance,mean_gripper_absolute_difference,median_gripper_absolute_difference,episode_cluster_ci95_low_gripper_absolute_difference,episode_cluster_ci95_high_gripper_absolute_difference,mean_arm_only_6d_distance,median_arm_only_6d_distance,episode_cluster_ci95_low_arm_only_6d_distance,episode_cluster_ci95_high_arm_only_6d_distance,mean_full_7d_distance,median_full_7d_distance,episode_cluster_ci95_low_full_7d_distance,episode_cluster_ci95_high_full_7d_distance,mean_gripper_regime_flip_rate_across_prompts,median_gripper_regime_flip_rate_across_prompts,episode_cluster_ci95_low_gripper_regime_flip_rate_across_prompts,episode_cluster_ci95_high_gripper_regime_flip_rate_across_prompts
Paraphrase,10,20,10,observation-level mean across 10 prompt variants,0.1414312905945994,0.12375478266882556,0.10545727841705578,0.1805605071325817,0.016157137011805944,0.01543688750089885,0.012790420031316568,0.019417525538335582,0.16694528371095657,0.006167054176330561,0.04595995467901232,0.3277152002900839,0.14294730509560394,0.12711791539847822,0.10571012171693257,0.18308799384205973,0.2883947982509917,0.1940541583334986,0.16693352460104607,0.44269867949181846,0.07999999999999999,0.0,0.02,0.16
Contradictory,10,20,10,observation-level mean across 10 prompt variants,0.2149112109601407,0.17938496968270806,0.1541913462496465,0.28669288866165965,0.023930920505057234,0.02319993941809426,0.018556861248136353,0.02998937910014959,0.22697441548109057,0.008932417631149315,0.0871860965937376,0.37554260885715485,0.21707377562464494,0.1803365448350246,0.15825804184074585,0.2887698432311977,0.3981441950030907,0.27558382659863057,0.2561361415222613,0.5324496782471692,0.11000000000000001,0.0,0.04,0.185
Unrelated,10,20,10,observation-level mean across 10 prompt variants,0.34374516611956046,0.2764392929212843,0.22035127007701671,0.5039326060654418,0.03279660111729574,0.02954572581480769,0.025522457166481338,0.04031748487475578,0.351792085468769,0.11291916966438292,0.1814655030146241,0.5225673783496023,0.3463061463453272,0.27884112729848476,0.22128068268856182,0.5104822359773316,0.6222926424926635,0.6081787755825521,0.4326348671625068,0.83600963713465,0.17,0.05,0.08499999999999999,0.255
