episode_id,frame_index,global_index,normalized_progress,progress_bin_index,progress_bin,prompt_class,translation_distance,orientation_control_distance,gripper_absolute_difference,arm_only_6d_distance,full_7d_distance,gripper_regime_flip_rate_across_prompts
6,229,1796,0.7582781456953642,3,60–80%,Paraphrase,0.128067455118219,0.013584127345034638,0.20806403160095216,0.12913193218974245,0.29280525733144336,0.1
6,229,1796,0.7582781456953642,3,60–80%,Unrelated,0.18426571634768735,0.012270172032056163,0.6148273468017578,0.18479147843823274,0.7120709928690513,0.3
7,89,1959,0.3617886178861789,1,20–40%,Contradictory,0.16766256279615221,0.009922558744980603,0.009106159210205111,0.16801440231535106,0.16839077364396665,0.0
7,89,1959,0.3617886178861789,1,20–40%,Paraphrase,0.09807576136452006,0.006600646823517066,0.007725220918655374,0.09833619300221799,0.0989206103376606,0.0
7,89,1959,0.3617886178861789,1,20–40%,Unrelated,0.46567053485203996,0.024143238700660815,0.20891782641410822,0.4663472198764514,0.6127374704330973,0.1
7,126,1996,0.5121951219512195,2,40–60%,Contradictory,0.09167394072795869,0.015312014349934922,0.007188302278518699,0.0933983906304878,0.09433117536724092,0.0
7,126,1996,0.5121951219512195,2,40–60%,Paraphrase,0.04605359894947026,0.008528120187047994,0.005418616533279496,0.04720030247425464,0.04787143426172256,0.0
7,126,1996,0.5121951219512195,2,40–60%,Unrelated,0.054052974840114565,0.014032536590845296,0.014456653594970803,0.0565198057321354,0.05896406853614835,0.0
8,103,2220,0.4345991561181435,2,40–60%,Contradictory,0.37040308069813543,0.026271583007330217,0.019321817159652678,0.3713945623441749,0.372008947537753,0.0
8,103,2220,0.4345991561181435,2,40–60%,Paraphrase,0.1843686468089175,0.008801094061268694,0.012813055515289296,0.18463519345945198,0.1852883600869453,0.0
8,103,2220,0.4345991561181435,2,40–60%,Unrelated,0.6964653075212335,0.05113139759436821,0.014533460140228282,0.6984502512313846,0.6986644800564649,0.0
8,163,2280,0.6877637130801688,3,60–80%,Contradictory,0.1433496624373609,0.025819595957488707,0.009372389316558838,0.14587098680830338,0.1462795336729044,0.0
8,163,2280,0.6877637130801688,3,60–80%,Paraphrase,0.12189115050611805,0.02263456069534562,0.0055711090564727565,0.12510389860721396,0.12528959739748033,0.0
8,163,2280,0.6877637130801688,3,60–80%,Unrelated,0.3113018751364895,0.02944597242612107,0.012974298000335671,0.31287037570662385,0.31326579044638236,0.0
9,50,2405,0.1953125,0,0–20%,Contradictory,0.15929323547846988,0.03470154038607138,0.20988665223121647,0.1647169450840782,0.33545823868488645,0.1
9,50,2405,0.1953125,0,0–20%,Paraphrase,0.12001266333062433,0.017695382860431166,0.004617416858673062,0.1216122413947018,0.12173601843779631,0.0
9,50,2405,0.1953125,0,0–20%,Unrelated,0.30507885727306866,0.038024215262931496,0.008046823740005583,0.30850429156721143,0.30865050459620236,0.0
9,228,2583,0.890625,4,80–100%,Contradictory,0.20414033225489106,0.052228774810179145,1.0018504083156585,0.21221416338669424,1.074375111793626,0.5
9,228,2583,0.890625,4,80–100%,Paraphrase,0.12561841483153305,0.03103053470587715,0.4041790306568146,0.13109059076047663,0.48021663303450773,0.2
9,228,2583,0.890625,4,80–100%,Unrelated,0.17158447603700738,0.0430338866676391,0.8165622413158417,0.17781002155469677,0.9170429687822926,0.4
